qb_name,dropbacks,epa_per_dropback,success_rate,cpoe
K.Murray,177,0.0323,43.5,-0.53
S.Rattler,272,-0.0777,44.12,2.36
J.Allen,584,0.1475,46.92,3.95
L.Jackson,338,0.0547,45.56,1.76
T.Lawrence,631,0.0618,46.28,-2.05
B.Young,548,-0.0543,42.52,0.47
J.Burrow,278,0.1317,48.92,4.65
J.Flacco,432,-0.0952,40.97,-2.82
D.Prescott,630,0.1774,47.78,2.16
J.Hurts,522,0.0601,42.72,2.36
J.Love,508,0.2533,49.21,5.28
J.Goff,614,0.1745,48.37,1.78
C.Stroud,531,0.0468,44.26,-1.62
M.Stafford,706,0.2229,51.56,0.45
P.Mahomes,537,0.1274,47.86,0.34
J.Herbert,603,0.0047,45.27,1.32
G.Smith,503,-0.1463,42.15,0.71
D.Maye,605,0.2595,52.56,9.28
D.Jones,409,0.1582,49.63,2.3
T.Tagovailoa,415,0.0339,44.82,2.02
J.McCarthy,273,-0.1982,40.29,-5.72
C.Williams,686,0.082,43.59,-4.0
J.Daniels,204,-0.0289,44.12,-2.73
R.Wilson,129,-0.1215,36.43,-1.48
J.Fields,233,-0.0933,41.2,-1.87
A.Rodgers,564,0.0002,41.49,-0.41
S.Darnold,521,0.1536,51.82,5.45
B.Purdy,359,0.157,51.53,5.6
M.Penix,290,0.0177,45.17,-3.62
B.Mayfield,584,0.0014,43.15,-2.12
C.Ward,592,-0.1847,36.82,-2.93
B.Nix,684,0.0968,44.01,-1.43
T.Taylor,147,-0.0897,42.86,-0.88
D.Gabriel,204,-0.2198,31.86,-7.51
J.Browning,134,-0.2865,38.06,0.38
M.Jones,308,0.1374,51.62,3.37
K.Cousins,281,-0.0066,44.13,-2.8
C.Wentz,188,0.0339,48.94,1.11
M.Mariota,244,-0.0077,47.13,3.2
T.Shough,356,0.0067,43.82,1.61
J.Dart,375,0.0101,41.6,-0.19
D.Mills,169,-0.0989,39.64,-6.61
J.Brissett,530,-0.0067,44.72,1.64
S.Sanders,235,-0.2523,33.62,-5.0
B.Cook,173,-0.3951,31.21,-10.03
