qb_name,attempts,completions,completion_pct,passing_yards,yards_per_attempt,pass_tds,interceptions,td_int_ratio,sacks,passer_rating
K.Murray,529,372,70.32,3851,7.28,21,11,1.91,30,95.59
J.Allen,558,365,65.41,4367,7.83,32,6,5.33,19,103.84
L.Jackson,509,350,68.76,4601,9.04,45,5,9.0,26,122.43
P.Mahomes,649,447,68.88,4607,7.1,31,13,2.38,47,96.63
D.Carr,274,189,68.98,2145,7.83,15,5,3.0,8,102.83
B.Young,375,234,62.4,2403,6.41,15,9,1.67,29,84.12
A.Dalton,154,106,68.83,989,6.42,7,6,1.17,7,85.12
D.Prescott,276,185,67.03,1978,7.17,11,8,1.38,21,89.01
D.Watson,213,137,64.32,1148,5.39,5,3,1.67,33,80.1
G.Smith,561,407,72.55,4320,7.7,21,15,1.4,50,95.96
B.Nix,576,389,67.53,3919,6.8,30,12,2.5,26,95.39
J.Love,444,288,64.86,3601,8.11,25,14,1.79,16,95.56
J.Hurts,445,313,70.34,3629,8.16,23,6,3.83,51,106.29
A.Richardson,250,126,50.4,1814,7.26,8,12,0.67,14,64.98
C.Stroud,579,377,65.11,4254,7.35,21,13,1.62,63,89.69
T.Tagovailoa,390,291,74.62,2867,7.35,19,7,2.71,21,103.65
T.Lawrence,276,172,62.32,2045,7.41,11,7,1.57,18,87.61
M.Stafford,579,385,66.49,4295,7.42,24,8,3.0,35,96.46
J.Goff,558,413,74.01,4942,8.86,38,15,2.53,33,112.16
J.Herbert,526,346,65.78,4112,7.82,24,7,3.43,45,99.14
G.Minshew,293,203,69.28,2013,6.87,9,10,0.9,29,84.46
D.Jones,330,216,65.45,2070,6.27,8,7,1.14,29,82.01
S.Darnold,571,386,67.6,4564,7.99,36,13,2.77,57,103.25
J.Burrow,642,460,71.65,4918,7.66,43,9,4.78,48,110.2
J.Brissett,159,95,59.75,826,5.19,2,1,2.0,18,75.09
A.Rodgers,573,368,64.22,3897,6.8,28,11,2.55,40,92.23
B.Purdy,438,300,68.49,3864,8.82,20,12,1.67,31,99.72
K.Cousins,433,303,69.98,3508,8.1,18,16,1.12,28,92.61
J.Fields,160,106,66.25,1106,6.91,5,1,5.0,16,93.91
W.Levis,289,190,65.74,2091,7.24,13,12,1.08,41,84.71
C.Williams,552,351,63.59,3541,6.41,20,6,3.33,68,89.35
B.Mayfield,571,422,73.91,4685,8.2,43,16,2.69,41,111.29
J.Daniels,582,406,69.76,4390,7.54,30,10,3.0,51,101.67
C.Rush,302,187,61.92,1844,6.11,12,5,2.4,13,85.47
A.O'Connell,238,154,64.71,1612,6.77,8,4,2.0,10,88.43
M.Jones,254,171,67.32,1672,6.58,8,8,1.0,14,82.99
D.Maye,327,225,68.81,2276,6.96,15,10,1.5,34,90.97
J.Flacco,241,162,67.22,1761,7.31,12,7,1.71,18,93.04
T.Huntley,129,86,66.67,829,6.43,3,3,1.0,15,82.48
M.Rudolph,216,146,67.59,1530,7.08,9,9,1.0,11,84.45
J.Winston,283,181,63.96,2121,7.49,13,12,1.08,24,84.25
S.Rattler,222,130,58.56,1317,5.93,4,5,0.8,22,72.22
D.Thompson-Robinson,112,61,54.46,440,3.93,0,6,0.0,8,41.52
R.Wilson,358,234,65.36,2752,7.69,18,5,3.6,37,99.52
D.Lock,175,107,61.14,1071,6.12,6,5,1.2,12,78.06
M.Penix,102,61,59.8,775,7.6,3,3,1.0,4,81.13
