qb_name,total_dropbacks,pressure_plays,pressure_rate,completion_pct_under_pressure,pass_attempts_under_pressure,completions_under_pressure,overall_completion_pct,sacks,sack_rate,turnovers_under_pressure,turnover_worthy_rate,epa_under_pressure,success_rate_pressure,scrambles,estimated_time_to_throw,avg_air_yards
A.Rodgers,564,69,12.23,20.29,69,14,60.99,33,5.85,3,4.35,-1.1127,13.04,0,2.34,6.21
B.Cook,173,32,18.5,9.38,32,3,50.87,19,10.98,2,6.25,-1.4707,6.25,0,2.32,5.67
B.Mayfield,584,52,8.9,9.62,52,5,58.73,36,6.16,3,5.77,-1.2971,5.77,0,2.39,8.11
B.Nix,684,72,10.53,29.17,72,21,60.53,22,3.22,4,5.56,-0.6427,22.22,0,2.37,7.28
B.Purdy,359,44,12.26,40.91,44,18,64.07,14,3.9,4,9.09,-0.7234,27.27,0,2.38,7.62
B.Young,548,85,15.51,32.94,85,28,59.31,29,5.29,3,3.53,-0.6613,24.71,0,2.35,6.69
C.Stroud,531,71,13.37,22.54,71,16,59.13,29,5.46,4,5.63,-1.079,12.68,0,2.4,8.19
C.Ward,592,105,17.74,15.24,105,16,54.56,55,9.29,6,5.71,-1.2165,13.33,0,2.37,7.23
C.Wentz,188,36,19.15,16.67,36,6,58.51,19,10.11,2,5.56,-1.1311,13.89,0,2.38,7.62
C.Williams,686,79,11.52,25.32,79,20,54.96,25,3.64,2,2.53,-0.695,18.99,0,2.42,8.88
D.Gabriel,204,33,16.18,21.21,33,7,53.92,19,9.31,0,0.0,-1.0497,12.12,0,2.32,5.83
D.Jones,409,61,14.91,36.07,61,22,63.81,22,5.38,2,3.28,-0.5532,24.59,0,2.39,8.0
D.Maye,605,95,15.7,26.32,95,25,63.97,57,9.42,5,5.26,-0.7358,25.26,0,2.42,9.15
D.Mills,169,19,11.24,21.05,19,4,53.85,8,4.73,0,0.0,-1.1375,15.79,0,2.41,8.55
D.Prescott,630,94,14.92,29.79,94,28,64.13,31,4.92,3,3.19,-0.5109,25.53,0,2.39,8.02
G.Smith,503,98,19.48,19.39,98,19,60.04,55,10.93,3,3.06,-1.3678,11.22,0,2.33,6.17
J.Allen,584,82,14.04,20.73,82,17,63.7,44,7.53,3,3.66,-0.8382,15.85,0,2.37,7.48
J.Brissett,530,106,20.0,25.47,106,27,59.43,43,8.11,5,4.72,-0.9676,19.81,0,2.38,7.62
J.Browning,134,27,20.15,29.63,27,8,60.45,9,6.72,3,11.11,-1.2599,18.52,0,2.38,7.67
J.Burrow,278,46,16.55,23.91,46,11,62.23,17,6.12,1,2.17,-0.7739,15.22,0,2.37,7.21
J.Daniels,204,26,12.75,23.08,26,6,55.88,18,8.82,2,7.69,-0.783,23.08,0,2.37,7.39
J.Dart,375,72,19.2,19.44,72,14,57.6,35,9.33,2,2.78,-0.6623,13.89,0,2.4,8.18
J.Fields,233,55,23.61,18.18,55,10,54.94,27,11.59,1,1.82,-0.9495,7.27,0,2.35,6.76
J.Flacco,432,59,13.66,22.03,59,13,58.1,18,4.17,6,10.17,-1.2944,16.95,0,2.37,7.32
J.Goff,614,117,19.06,26.5,117,31,64.01,38,6.19,6,5.13,-0.7928,20.51,0,2.34,6.43
J.Herbert,603,139,23.05,21.58,139,30,59.54,60,9.95,5,3.6,-0.8531,17.99,0,2.38,7.82
J.Hurts,522,52,9.96,17.31,52,9,60.15,33,6.32,1,1.92,-1.0486,11.54,0,2.42,8.97
J.Love,508,77,15.16,22.08,77,17,62.01,22,4.33,5,6.49,-0.765,19.48,0,2.42,8.95
J.McCarthy,273,67,24.54,28.36,67,19,51.28,27,9.89,3,4.48,-0.7767,22.39,0,2.41,8.81
K.Cousins,281,43,15.3,25.58,43,11,59.07,13,4.63,1,2.33,-0.6,20.93,0,2.36,6.95
K.Murray,177,23,12.99,13.04,23,3,62.15,16,9.04,1,4.35,-1.2052,8.7,0,2.33,5.84
L.Jackson,338,57,16.86,14.04,57,8,56.8,36,10.65,2,3.51,-1.162,10.53,0,2.41,8.77
M.Jones,308,45,14.61,28.89,45,13,65.91,16,5.19,3,6.67,-0.9987,20.0,0,2.37,7.38
M.Mariota,244,40,16.39,17.5,40,7,56.97,16,6.56,5,12.5,-1.2261,17.5,0,2.45,10.11
M.Penix,290,30,10.34,13.33,30,4,57.24,13,4.48,1,3.33,-0.9338,13.33,0,2.4,8.33
M.Stafford,706,87,12.32,29.89,87,26,61.19,28,3.97,3,3.45,-0.7568,19.54,0,2.43,9.32
P.Mahomes,537,99,18.44,22.22,99,22,58.66,34,6.33,2,2.02,-0.3657,20.2,0,2.39,8.07
R.Wilson,129,28,21.71,14.29,28,4,53.49,10,7.75,0,0.0,-1.076,7.14,0,2.42,8.89
S.Darnold,521,63,12.09,30.16,63,19,64.3,29,5.57,5,7.94,-0.8107,22.22,0,2.39,7.89
S.Rattler,272,34,12.5,29.41,34,10,63.97,18,6.62,2,5.88,-0.8626,26.47,0,2.39,7.9
S.Sanders,235,68,28.94,19.12,68,13,51.06,23,9.79,7,10.29,-1.1176,11.76,0,2.37,7.19
T.Lawrence,631,86,13.63,25.58,86,22,56.89,42,6.66,3,3.49,-0.7605,16.28,0,2.41,8.76
T.Shough,356,47,13.2,17.02,47,8,62.08,31,8.71,1,2.13,-1.2803,12.77,0,2.4,8.28
T.Tagovailoa,415,45,10.84,17.78,45,8,62.65,30,7.23,3,6.67,-1.1801,11.11,0,2.35,6.8
T.Taylor,147,29,19.73,31.03,29,9,54.42,14,9.52,1,3.45,-0.6319,24.14,0,2.41,8.54
