qb_name,total_plays,touchdowns,td_rate,pass_attempts,interceptions,int_rate,avg_depth_of_target,completion_rate,avg_epa,success_rate
A.Rodgers,87,15,17.24,84,1,1.19,3.9,57.14,-0.0709,37.93
B.Cook,20,2,10.0,20,3,15.0,2.74,30.0,-1.208,20.0
B.Mayfield,85,17,20.0,76,1,1.32,5.84,52.63,0.0815,38.82
B.Nix,121,23,19.01,99,1,1.01,3.47,55.56,0.1607,44.63
B.Purdy,72,21,29.17,65,1,1.54,5.03,56.92,0.4673,54.17
B.Young,93,18,19.35,81,2,2.47,4.99,51.85,-0.0223,45.16
C.Stroud,78,16,20.51,70,1,1.43,4.11,51.43,-0.1063,34.62
C.Ward,69,15,21.74,59,2,3.39,3.76,61.02,0.0845,43.48
C.Wentz,41,6,14.63,39,0,0.0,6.53,46.15,-0.0666,39.02
C.Williams,118,20,16.95,97,3,3.09,4.74,45.36,-0.1372,34.75
D.Gabriel,37,6,16.22,35,0,0.0,4.75,42.86,-0.2431,29.73
D.Jones,82,21,25.61,66,0,0.0,4.09,51.52,0.1858,45.12
D.Maye,111,25,22.52,88,3,3.41,4.74,54.55,0.1174,46.85
D.Mills,33,6,18.18,30,0,0.0,7.6,40.0,0.0247,36.36
D.Prescott,123,23,18.7,111,3,2.7,5.43,51.35,-0.1062,37.4
G.Smith,73,15,20.55,66,3,4.55,5.33,53.03,-0.0124,38.36
J.Allen,132,35,26.52,92,3,3.26,3.72,57.61,0.237,50.76
J.Brissett,101,20,19.8,96,2,2.08,7.39,51.04,-0.1273,37.62
J.Browning,14,5,35.71,12,0,0.0,4.82,66.67,0.5333,64.29
J.Burrow,46,16,34.78,44,2,4.55,5.38,50.0,-0.1375,45.65
J.Daniels,33,8,24.24,26,1,3.85,3.77,42.31,-0.0613,48.48
J.Dart,78,17,21.79,56,0,0.0,6.79,35.71,0.0195,38.46
J.Fields,43,6,13.95,30,0,0.0,5.0,40.0,0.2706,58.14
J.Flacco,58,11,18.97,51,1,1.96,5.63,47.06,0.0939,37.93
J.Goff,102,25,24.51,99,2,2.02,4.26,53.54,0.1687,39.22
J.Herbert,108,22,20.37,91,4,4.4,4.98,48.35,-0.0954,40.74
J.Hurts,87,25,28.74,60,2,3.33,4.4,66.67,0.3517,54.02
J.Love,79,20,25.32,73,1,1.37,4.54,58.9,0.3195,45.57
J.McCarthy,50,14,28.0,44,0,0.0,6.23,36.36,0.1487,40.0
K.Cousins,38,10,26.32,37,1,2.7,5.67,48.65,0.0725,44.74
K.Murray,25,7,28.0,21,1,4.76,2.25,61.9,0.0229,40.0
L.Jackson,66,13,19.7,53,2,3.77,5.2,35.85,-0.251,36.36
M.Jones,46,12,26.09,43,0,0.0,4.64,69.77,0.4726,58.7
M.Mariota,41,8,19.51,33,2,6.06,5.57,42.42,-0.0895,41.46
M.Penix,36,9,25.0,33,0,0.0,5.27,48.48,0.3978,44.44
M.Stafford,134,36,26.87,126,2,1.59,3.92,59.52,0.0629,47.01
P.Mahomes,108,24,22.22,93,3,3.23,3.52,49.46,0.0281,42.59
R.Wilson,27,0,0.0,20,0,0.0,5.45,20.0,-1.021,7.41
S.Darnold,83,16,19.28,77,2,2.6,5.79,54.55,-0.1758,37.35
S.Rattler,37,6,16.22,32,0,0.0,7.5,50.0,-0.0394,35.14
S.Sanders,19,4,21.05,17,0,0.0,0.71,52.94,-0.1153,42.11
T.Lawrence,128,35,27.34,100,4,4.0,4.54,57.0,-0.0296,46.88
T.Shough,42,9,21.43,28,1,3.57,8.67,46.43,-0.0957,35.71
T.Tagovailoa,64,16,25.0,62,0,0.0,3.38,58.06,0.3059,43.75
T.Taylor,18,5,27.78,15,0,0.0,6.93,46.67,0.5455,44.44
