qb_name,total_plays,third_down_attempts,third_down_conversions,third_down_conversion_rate,rank
B.Mayfield,699,186,89,47.85,1
L.Jackson,711,167,79,47.31,2
P.Mahomes,797,212,98,46.23,3
J.Burrow,744,188,86,45.74,4
J.Allen,718,196,89,45.41,5
B.Purdy,553,149,66,44.3,6
J.Goff,649,158,70,44.3,7
J.Hurts,691,189,82,43.39,8
J.Daniels,834,206,84,40.78,9
K.Murray,651,147,59,40.14,10
S.Darnold,715,194,76,39.18,11
B.Nix,712,213,81,38.03,12
G.Smith,684,174,65,37.36,13
C.Stroud,720,221,81,36.65,14
J.Herbert,654,171,62,36.26,15
J.Love,505,133,46,34.59,16
K.Cousins,505,132,45,34.09,17
A.Rodgers,649,179,60,33.52,18
M.Stafford,659,165,52,31.52,19
C.Williams,721,203,62,30.54,20
